stopTag,title,lat,lon,stopId
9904290,4th St & Harrison St,37.8805499,-122.30398,51786
0302700,Gilman St & 7th St,37.87949,-122.30044,50404
0302680,Gilman St & 10th St,37.88016,-122.29708,58089
0302780,Gilman St & San Pablo Av,37.88032,-122.29622,57715
0302730,Gilman St & Cornell Av,37.88095,-122.29331,52077
0302790,Gilman St & Santa Fe Av,37.8814,-122.29102,52877
0302740,Gilman St & Curtis St,37.88135,-122.2898699,51175
0302760,Gilman St & Ordway St,37.88055,-122.2865399,53380
0303290,Hopkins St & Sacramento St,37.88076,-122.28356,53539
0303250,Hopkins St & California St,37.8815599,-122.28204,57887
0303260,Hopkins St & Carlotta Av,37.88258,-122.27998,53177
0303240,Hopkins St & Beverly Pl,37.88413,-122.27685,53877
0303310,Hopkins St & The Alameda,37.88524,-122.27501,52505
0303500,Martin Luther King Jr Way & Berryman St,37.88298,-122.2743399,50339
0303660,Martin Luther King Jr Way & Rose St,37.88123,-122.2741599,57587
0303740,Martin Luther King Jr Way & Vine St,37.87945,-122.2739299,50662
0303530,Martin Luther King Jr Way & Cedar St,37.8776,-122.2738199,50661
0303750,Martin Luther King Jr Way & Virginia St,37.87581,-122.2735599,56598
0303600,Martin Luther King Jr Way & Hearst Av,37.87343,-122.2732999,57663
0303720,Martin Luther King Jr Way & University Av,37.8711999,-122.27308,56434
0303440,Martin Luther King Jr Way & Allston Way,37.86844,-122.2727799,56766
0303490,Martin Luther King Jr Way & Bancroft Way,37.86674,-122.2725899,55067
0303550,Martin Luther King Jr Way & Channing Way,37.86494,-122.2723899,55236
0303590,Martin Luther King Jr Way & Dwight Way,37.8631,-122.2721799,58115
0303620,Martin Luther King Jr Way & Parker St,37.86129,-122.2719799,54787
0303570,Martin Luther King Jr Way & Derby St,37.85986,-122.2717799,55045
0303710,Martin Luther King Jr Way & Stuart St,37.85774,-122.2715599,55602
0303680,Martin Luther King Jr Way & Russell St,37.85622,-122.2714199,56546
0303460,Martin Luther King Jr Way & Ashby Av(Ashby,37.8543899,-122.27121,59554
0303640,Martin Luther King Jr Way & Prince St,37.8526,-122.2710199,55280
0300380,Adeline St & Fairview St,37.85079,-122.2708499,54254
0300330,Adeline St & Alcatraz Av,37.8484499,-122.2717499,52525
1016300,Martin Luther King Jr Way & 61st St,37.84576,-122.2711699,54565
1016290,Martin Luther King Jr Way & 59th St,37.84398,-122.2707699,56156
1016340,Martin Luther King Jr Way & Arlington Av,37.84255,-122.2705099,58538
1016320,Martin Luther King Jr Way & Aileen St,37.84146,-122.2702699,55341
1031860,55th St & Mlk Jr Way,37.83975,-122.26921,50475
1002960,55th St & Dover St,37.83997,-122.26736,57345
1002990,55th St & Shattuck Av,37.84038,-122.26421,54117
1003000,55th St & Telegraph Av,37.84018,-122.2621199,54338
1002850,51st St & Telegraph Av,37.83708,-122.2619799,55635
1002870,51st St & Webster St,37.83672,-122.2592699,54740
1002810,51st St & Lawton Av,37.83608,-122.2563099,56549
1002790,51st St & Broadway,37.8345199,-122.25269,57525
1017950,Pleasant Valley Av & Gilbert St,37.83362,-122.2507499,51611
1017970,Pleasant Valley Av & Montgomery St,37.83157,-122.2491199,57250
1017870,Piedmont Av & Pleasant Valley Av,37.8300699,-122.2477099,55607
1017830,Piedmont Av & John St,37.8290999,-122.2489899,56356
1017810,Piedmont Av & Glenwood Av,37.8283399,-122.2500399,54188
1017890,Piedmont Av & Ridgeway Av,37.8275999,-122.25098,51616
1017760,Piedmont Av & 41st St,37.8261899,-122.2528699,55345
1011420,Glen Av & Panama Ct,37.82531,-122.2517999,58997
1011410,Glen Av & Linda Av,37.82625,-122.24989,51315
1014200,Linda Av & Rose Av,37.82518,-122.2480799,56112
1100430,Linda Av & Lake Av,37.824,-122.2470999,52274
1100410,Linda Av & Grand Av,37.82155,-122.2439999,53280
1100110,Grand Av & Sunnyside Av,37.8205699,-122.2442899,50820
1011710,Grand Av & Jean St,37.8185999,-122.2449399,53885
1011900,Grand Av & Weldon Av,37.8164199,-122.2456399,55818
1011660,Grand Av & Elwood Av,37.8135599,-122.2468499,58995
1011840,Grand Av & Santa Clara Av,37.8116399,-122.2480099,57077
1011750,Grand Av & Macarthur Blvd,37.8102899,-122.24892,54774
1011670,Grand Av & Euclid Av,37.8087099,-122.25143,56446
1011860,Grand Av & Staten Av,37.8088799,-122.25361,51351
1011830,Grand Av & Perkins St,37.8090699,-122.25596,55542
1011800,Grand Av & Park View Ter,37.8098199,-122.25922,58819
1011700,Grand Av & Harrison St,37.8109899,-122.26209,58085
1031180,Grand Av & Valdez St,37.8113299,-122.26446,53947
1006860,Broadway & West Grand Ave,37.8111699,-122.2670399,53353
1030970,Broadway & Thomas L Berkley Way (20th St),37.8085899,-122.2685899,55569
9902070,Broadway & 17th St (19th St BART Station),37.8063199,-122.2700799,50958
1006390,Broadway & 13th St (12th St BART Station),37.8036499,-122.27178,55554
1006290,Broadway & 12th St (12th St BART Station),37.8026499,-122.2723999,55222
9903500,Broadway & 9th St,37.8011999,-122.2733099,51536
1006700,Broadway & 7th St,37.7992399,-122.2745199,57883
1006610,Broadway & 3rd St,37.7968899,-122.2759599,57080
1009840,Embarcadero West & Broadway,37.79512,-122.2764499,53441
1031820,2nd St & Oakland Amtrak,37.79401,-122.2713099,50414
1013260,Jackson St & 3rd St,37.7942722,-122.2701084,56926
301031560,Alice St & 2nd St,37.7944199,-122.27155,
