stopTag,title,lat,lon,stopId
9904260,Monroe Av & Jackson St,37.8841599,-122.299,51782
0200410,San Pablo Av & Marin Av,37.8864899,-122.2976,55867
0200370,San Pablo Av & Buchanan St,37.8880699,-122.29811,56606
0200450,San Pablo Av & Solano Av,37.8900699,-122.29875,50888
0200590,Solano Av & Cornell Av,37.89039,-122.29587,55766
0200630,Solano Av & Masonic Av,37.8905,-122.2933,55133
0200680,Solano Av & Ramona Av,37.89064,-122.29093,56568
0200700,Solano Av & Santa Fe Av,37.89075,-122.28892,52245
0200610,Solano Av & Curtis St,37.89087,-122.28716,51212
0200650,Solano Av & Peralta Av,37.89095,-122.28524,56615
0200720,Solano Av & Ventura Av,37.89108,-122.28315,57975
0305170,Solano Av & Ensenada Av,37.89117,-122.28154,50750
0305150,Solano Av & Colusa Av,37.8913,-122.27876,57799
0305200,Solano Av & The Alameda,37.8910999,-122.27622,54300
0305430,Sutter St & Hopkins St,37.88858,-122.2724999,56300
0305450,Sutter St & Yolo Av,37.88625,-122.2718899,59592
0303200,Henry St & Berryman St,37.8834,-122.2711099,58533
0305130,Shattuck Pl & Rose St,37.8817,-122.2703499,55454
0305060,Shattuck Av & Vine St,37.88032,-122.2694499,55507
0304820,Shattuck Av & Cedar St,37.87854,-122.2692299,53339
0305090,Shattuck Av & Virginia St,37.87635,-122.2689999,56654
0304860,Shattuck Av & Delaware St,37.87457,-122.2688499,57200
0305040,Shattuck Av & University Av,37.87237,-122.2685399,58889
9904050,Shattuck Av & Center St,37.8704799,-122.26825,51719
0304960,Shattuck Av & Kittredge St,37.86819,-122.2679899,55999
0304890,Shattuck Av & Durant Av,37.86647,-122.2678099,55226
0304920,Shattuck Av & Dwight Way,37.86376,-122.2674999,54454
0304990,Shattuck Av & Parker St,37.86193,-122.2672799,55935
0304870,Shattuck Av & Derby St,37.8606699,-122.2671699,51377
0305030,Shattuck Av & Stuart St,37.85866,-122.2670099,56177
0305010,Shattuck Av & Russell St,37.85682,-122.2668099,52955
0304800,Shattuck Av & Ashby Av,37.85541,-122.2666199,59954
0305110,Shattuck Av & Woolsey St,37.8524699,-122.2662199,52592
1019270,Shattuck Av & Alcatraz Av,37.8496399,-122.26584,57522
1019200,Shattuck Av & 61st St,37.84669,-122.2654599,51225
1019180,Shattuck Av & 59th St,37.8446,-122.2651899,55185
1019250,Shattuck Av & Aileen St,37.84213,-122.2648499,55415
1002980,55th St & Shattuck Av,37.8404999,-122.2649399,59937
1002970,55th St & Dover St,37.8402199,-122.2671299,56451
1016270,Martin Luther King Jr Way & 55th St,37.83941,-122.2698399,53773
1016240,Martin Luther King Jr Way & 52nd St(Childr,37.83731,-122.2688799,52422
1016220,Martin Luther King Jr Way & 47th St,37.8347899,-122.2672999,55124
1016200,Martin Luther King Jr Way & 44th St,37.8327299,-122.2677999,56601
1016190,Martin Luther King Jr Way & 42nd St,37.8316299,-122.2680699,52214
1030040,Mlk Jr Way & 40th St,37.8294499,-122.26863,58788
1016410,Martin Luther King Jr Way & W Macarthur Bl,37.8269099,-122.2692599,55745
1016130,Martin Luther King Jr Way & 36th St,37.8249999,-122.2697199,52114
1016110,Martin Luther King Jr Way & 34th St,37.8235099,-122.2701099,56006
1016370,Martin Luther King Jr Way & Brockhurst St,37.8220999,-122.2704699,53775
1016090,Martin Luther King Jr Way & 31st St,37.8207299,-122.2708199,59935
1016070,Martin Luther King Jr Way & 29th St,37.8188399,-122.2712999,55059
1016060,Martin Luther King Jr Way & 27th St,37.8173199,-122.2716799,55275
1016040,Martin Luther King Jr Way & 25th St,37.8151399,-122.2722299,56060
1016380,Martin Luther King Jr Way & W Grand Av,37.8122299,-122.2729799,55650
1018450,San Pablo Av & Castro St,37.81124,-122.2736599,55004
1001290,Thomas L Berkley Way (20th St) & San Pablo,37.81001,-122.2727699,59567
1031070,Thomas L Berkley Way (20th St) & Telegraph,37.8091,-122.2687999,55777
1006430,Broadway & 19th St (19th St BART Station),37.8079199,-122.2690899,54700
9902070,Broadway & 17th St (19th St BART Station),37.8063199,-122.2700799,50958
1006360,Broadway & 14th St (12th St BART Station),37.8039799,-122.27149,56666
9903500,Broadway & 9th St,37.8011999,-122.2733099,51536
1003480,7th St & Franklin St,37.79901,-122.2731799,59999
1003490,7th St & Harrison St,37.7981,-122.2708399,55571
1003500,7th St & Jackson St,37.79696,-122.2679999,58894
301004170,8th St & Oak St (Lake Merritt BART Station,37.7971599,-122.26581,
