stopTag,title,lat,lon,stopId
9904090,West Oakland BART Station,37.8044999,-122.29491,51731
1003560,7th St & Union St,37.80416,-122.2901799,52050
1031530,Adeline St & 7th St,37.80423,-122.28796,50285
1031540,Adeline St & 10th St,37.80651,-122.28715,50287
1004770,Adeline St & 14th St,37.80931,-122.28613,59683
1004800,Adeline St & 16th St,37.8109,-122.28555,54437
1004810,Adeline St & 18th St,37.8120899,-122.28512,55494
1004950,Adeline St & W Grand Av,37.81534,-122.28395,59180
1004860,Adeline St & 24th St,37.81707,-122.28332,55721
1004880,Adeline St & 26th St,37.8186,-122.28277,55473
1004890,Adeline St & 28th St,37.82018,-122.28219,57881
1004920,Adeline St & 30th St,37.82191,-122.28157,51882
1031950,Adeline St & 32nd St,37.82364,-122.28094,50546
1031960,Adeline St & 35th St,37.82686,-122.2798,50547
0601040,40th St & San Pablo Av,37.8312599,-122.27934,51627
0601150,40th St & Emery St,37.8307999,-122.2815699,50163
0600040,40th St & Harlan St,37.8304799,-122.2831199,56610
0600060,40th St & Hollis St,37.8300599,-122.2851799,57578
0600970,40th St & Horton St,37.8294999,-122.2879599,52260
0600890,Shellmound St & Bay St,37.83399,-122.29329,57988
0601160,Shellmound St & Powell St,37.8384399,-122.29312,50242
9903970,Christie Av At Public Market,37.8420599,-122.29516,51695
0600270,Christie Av & 64th St,37.8445999,-122.29595,52785
0600280,Christie Av & 65th St,37.8460499,-122.2964,53734
0600200,65th St & Shellmound St (Bay St),37.84614,-122.29481,52782
0600380,Hollis St & 65th St,37.8470299,-122.29152,56773
0600400,Hollis St & 67th St,37.8490399,-122.29215,54989
0300220,7th St & Anthony St,37.8521799,-122.29138,55915
0300290,7th St & Heinz Av,37.8533299,-122.29177,58667
0300270,7th St & Grayson St,37.8555699,-122.2925699,50633
0300300,7th St & Parker St,37.8585999,-122.29348,55738
0302050,Dwight Way & 7th St,37.86021,-122.29368,52556
0302070,Dwight Way & 9th St,37.86062,-122.29164,55925
0302240,Dwight Way & San Pablo Av,37.8610999,-122.28916,56200
0302170,Dwight Way & Mathews St,37.86137,-122.28704,55313
0302140,Dwight Way & Mabel St,37.86158,-122.28557,51959
0302260,Dwight Way & Valley St,37.86178,-122.28394,50877
0302220,Dwight Way & Sacramento St,37.86218,-122.28067,55070
0302100,Dwight Way & California St,37.86248,-122.27849,50977
0302190,Dwight Way & Mc Gee Av,37.86272,-122.27666,58484
0302130,Dwight Way & Grant St,37.86298,-122.2745,56586
0302160,Dwight Way & Martin Luther King Jr Way,37.86335,-122.27175,50575
0302200,Dwight Way & Milvia St,37.86358,-122.27003,51180
0304950,Shattuck Av & Haste St,37.8651099,-122.26737,51300
0302020,Durant Av & Shattuck Av,37.8666799,-122.26723,56555
9903630,Durant Av & Ellsworth St,37.8672,-122.26322,51584
9903710,Durant Av & Dana St,37.86749,-122.26084,51606
9903600,Durant Av & Telegragh St,37.8678595,-122.2586436,51579
0301980,Durant Av & College Av,37.8683,-122.25463,52333
309904200,Bancroft Way & Piedmont Av,37.8695799,-122.25286,
