stopTag,title,lat,lon,stopId
9904200,Bancroft Way & Piedmont Av,37.8695799,-122.25286,51759
0301120,Bancroft Way & College Av,37.8692899,-122.2551299,59555
0301190,Bancroft Way & Telegraph Av,37.8686099,-122.2605199,54963
0301130,Bancroft Way & Dana St,37.8684599,-122.2619099,55593
0306530,Bancroft Way & Ellsworth St,37.8681699,-122.2640799,54655
0304890,Shattuck Av & Durant Av,37.8664699,-122.26781,55226
0303070,Haste St & Shattuck Av,37.8649099,-122.2679299,58005
0303060,Haste St & Milvia St,37.8645899,-122.2702899,50229
0302150,Dwight Way & Martin Luther King Jr Way,37.8633699,-122.2723999,58575
0302120,Dwight Way & Grant St,37.8631399,-122.2742699,58007
0302180,Dwight Way & Mc Gee Av,37.8628499,-122.2765099,55246
0302090,Dwight Way & California St,37.8625899,-122.2785699,57713
0302210,Dwight Way & Sacramento St,37.8622899,-122.2809299,55019
0302250,Dwight Way & Valley St,37.8618799,-122.2840099,55249
0302080,Dwight Way & Bonar St,37.8616099,-122.2860799,56980
0302110,Dwight Way & Curtis St,37.8613899,-122.2877899,59234
0302230,Dwight Way & San Pablo Av,37.8610899,-122.28993,50922
0302060,Dwight Way & 9th St,37.8606099,-122.2921499,51667
0306450,7th St & Cutter Way,37.85959,-122.2939799,57288
0300310,7th St & Parker St,37.85855,-122.2936599,55807
0300260,7th St & Grayson St,37.85541,-122.2926099,55970
0300210,7th St & Anthony St,37.85229,-122.2916099,55909
0600390,Hollis St & 67th St,37.84898,-122.2922999,55843
0601170,65th St & Hollis St,37.8467099,-122.2921599,50528
9902270,Shellmound St & Amtrak,37.8412799,-122.29312,51043
0601060,Shellmound St & Bay St,37.83335,-122.2936399,51697
0600920,40th St & Horton St,37.82944,-122.28727,52257
0600050,40th St & Hollis St,37.8299,-122.28488,50577
0600030,40th St & Harlan St,37.83019,-122.28345,56771
0600010,40th St & Emery St,37.83061,-122.28132,54855
0601000,40th St & Adeline St,37.8311299,-122.27879,50971
1031970,Adeline St & 35th St,37.8270299,-122.2800699,50548
1031990,Adeline St & 32nd St,37.8235699,-122.2811899,50549
1004910,Adeline St & 30th St,37.8221299,-122.2817199,55479
1004900,Adeline St & 28th St,37.8200699,-122.2824599,51818
1004870,Adeline St & 26th St,37.8188499,-122.2829099,52388
1004850,Adeline St & 24th St,37.8173299,-122.2834699,50211
1004940,Adeline St & W Grand Av,37.8157899,-122.2840199,56088
1004820,Adeline St & 18th St,37.8125299,-122.28519,57577
1004790,Adeline St & 16th St,37.8112299,-122.2856499,59045
1004780,Adeline St & 14th St,37.8098299,-122.2861699,51308
1031520,Adeline St & 10th St,37.8064299,-122.2873899,50282
1003400,7th St & Adeline St,37.8040899,-122.28851,56884
1003550,7th St & Union St,37.8045399,-122.2908,55112
309904090,West Oakland BART Station,37.8044999,-122.29491,
