stopTag,title,lat,lon,stopId
1007550,College Av & Rockridge BART Station,37.8445499,-122.25169,51188
1007460,College Av & Chabot Rd,37.8470299,-122.25197,50955
9903410,College Av & Claremont Av,37.85006,-122.25231,51506
9903420,College Av & Alcatraz Av,37.8516199,-122.25236,51507
0301820,College Av & Woolsey St,37.8541599,-122.2527,52323
0301660,College Av & Ashby Av,37.8572899,-122.25299,55955
0301770,College Av & Russell St,37.85881,-122.25314,51199
0301700,College Av & Derby St,37.8620299,-122.25348,59977
0301760,College Av & Parker St,37.86418,-122.25371,57774
0301730,College Av & Haste St,37.86677,-122.25404,52223
0301120,Bancroft Way & College Av,37.8692899,-122.2551299,59555
0301170,Bancroft Way & Telegraph Av,37.8686599,-122.25991,54455
0301130,Bancroft Way & Dana St,37.8684599,-122.2619099,55593
0306530,Bancroft Way & Ellsworth St,37.8681699,-122.2640799,54655
0304970,Shattuck Av & Kittredge St,37.86845,-122.26772,55585
0306210,Shattuck Sq & Center St,37.8707599,-122.26766,55551
0306650,University Av & Shattuck Av,37.8721999,-122.2687799,50444
0305980,University Av & Martin Luther King Jr Way,37.8716999,-122.2728699,57557
0305940,University Av & Grant St,37.8714099,-122.2751699,58851
9903620,University Av & California St,37.8707399,-122.2802799,51583
0306040,University Av & Sacramento St,37.8705899,-122.2816299,55722
9903580,University Av & Acton St,37.8701799,-122.2846499,51573
0305880,University Av & Bonar St,37.8698399,-122.2874199,57335
0306410,University Av & San Pablo Av,37.8691099,-122.29254,52566
0305810,University Av & 9th St,37.8687899,-122.2942999,59004
0305800,University Av & 6th St,37.8681599,-122.2974099,51105
0305770,University Av & 4th St,37.8677299,-122.2997299,52355
300305760,University Av & 3rd St,37.8672699,-122.30068,
