stopTag,title,lat,lon,stopId
0305760,University Av & 3rd St,37.8672699,-122.30068,58883
0305780,University Av & 4th St,37.8674795,-122.2995627,54477
0305790,University Av & 6th St,37.86794,-122.29735,55548
0305820,University Av & 9th St,37.8686,-122.29408,55855
0304670,University Av & San Pablo Av,37.8690599,-122.29172,55996
9903740,University Av & Bonar St,37.86965,-122.28696,51617
0305840,University Av & Acton St,37.8700996,-122.2839223,59900
0306050,University Av & Sacramento St,37.87037,-122.28135,56667
9903590,University Av & California St,37.87062,-122.27945,51574
0305930,University Av & Grant St,37.87121,-122.27489,51900
0305990,University Av & Martin Luther King Jr Way,37.8715496,-122.2726723,55988
0306080,University Av & Shattuck Av,37.87203,-122.26857,54466
9904050,Shattuck Av & Center St,37.8704799,-122.26825,51719
0304960,Shattuck Av & Kittredge St,37.86819,-122.2679899,55999
0302020,Durant Av & Shattuck Av,37.86668,-122.26723,56555
9903630,Durant Av & Ellsworth St,37.8672,-122.26322,51584
9903710,Durant Av & Dana St,37.86749,-122.26084,51606
9903600,Durant Av & Telegragh St,37.8678399,-122.25864,51579
0301980,Durant Av & College Av,37.8683,-122.25463,52333
0301740,College Av & Haste St,37.86671,-122.2541999,52244
9903610,College Av & Parker St,37.86336,-122.2537499,51582
0301690,College Av & Derby St,37.8619,-122.2535999,50600
0301780,College Av & Russell St,37.85859,-122.2532699,57655
0301670,College Av & Ashby Av,37.85682,-122.2531099,55991
0301810,College Av & Woolsey St,37.8537,-122.2528199,56585
9903430,College Av & Alcatraz Av,37.85093,-122.2525699,51508
1007470,College Av & Claremont Av,37.84878,-122.2522899,57877
1007450,College Av & Chabot Rd,37.8472,-122.2521299,56288
1007540,College Av & Oak Grove Av (Opp. Claremont,37.84572,-122.2519899,56656
1031880,Miles Av & College Av,37.8451706,-122.2521482,50478
301007550,College Av & Rockridge BART Station,37.8445499,-122.25169,
