stopTag,title,lat,lon,stopId
9904240,Monroe Av & 10th St,37.8843699,-122.29886,51768
9904250,Monroe Av & Jackson St,37.8842299,-122.2995299,51769
0200780,Jackson St & Ohlone St,37.88544,-122.30018,50529
0200200,Ohlone Dr & #956,37.8855299,-122.3013,55990
0200760,Ohlone Av & West End Way,37.8847299,-122.3050099,54440
0200770,Red Oak Av & Kinkead Way,37.88293,-122.30291,55115
0200120,Jackson St & 8th St,37.88345,-122.29998,55448
9904270,Monroe Av & 10th St,37.8842699,-122.29851,51783
0200430,San Pablo Av & Monroe St,37.88441,-122.2972099,54344
0304590,San Pablo Av & Harrison St,37.88204,-122.2964499,55929
0304540,San Pablo Av & Gilman St,37.8799,-122.2957699,55501
0304640,San Pablo Av & Page St,37.87732,-122.2949299,53005
0306480,Cedar St & San Pablo Av,37.8751999,-122.29376,56144
0301340,Cedar St & Cornell Av,37.87548,-122.29165,50234
9904120,Cedar St & Chestnut St,37.87592,-122.28843,51735
0301260,Cedar St & Acton St,37.87631,-122.28518,58958
0304180,Sacramento St & Cedar St,37.8764416,-122.2827201,52154
0304360,Sacramento St & Francisco St (North Berkel,37.8737799,-122.28252,53243
0306050,University Av & Sacramento St,37.87037,-122.28135,56667
9903590,University Av & California St,37.87062,-122.27945,51574
0305930,University Av & Grant St,37.87121,-122.27489,51900
0305990,University Av & Martin Luther King Jr Way,37.8715496,-122.2726723,55988
0306420,University Av & Shattuck Av,37.8721199,-122.26798,57300
0303940,Oxford St & University Av,37.8727699,-122.26598,50400
0306550,Hearst Av & Arch St,37.87443,-122.26408,58558
0303120,Hearst Av & Euclid Av,37.87493,-122.26055,55006
0303140,Hearst Av & Le Roy Av,37.8752999,-122.25797,57955
0302670,Gayley Rd & Greek Theater,37.87347,-122.2552299,53700
0305750,Piedmont Av & UC Faculty Club,37.871,-122.2528299,55967
0303990,Piedmont Av & Bancroft Way,37.86969,-122.2523899,52995
0301120,Bancroft Way & College Av,37.8692899,-122.2551299,59555
300301180,Bancroft Way & Telegraph Av,37.8686499,-122.26025,
