stopTag,title,lat,lon,stopId
0300315,Addison St & Oxford St,37.8712899,-122.26655,57566
0306220,Shattuck Av & Center St,37.87092,-122.26763,55678
0303940,Oxford St & University Av,37.8727699,-122.26598,50400
0306550,Hearst Av & Arch St,37.87443,-122.26408,58558
0303120,Hearst Av & Euclid Av,37.87493,-122.26055,55006
0302500,Euclid Av & Le Conte Av,37.8768499,-122.26045,50966
0302490,Euclid Av & Hilgard Av,37.8785599,-122.26083,54670
0302360,Euclid Av & Cedar St,37.8795899,-122.26111,56320
0302350,Euclid Av & Buena Vista Way,37.88062,-122.2614899,53215
0302470,Euclid Av & Hawthorne Ter,37.8817285,-122.2614698,54375
0302600,Euclid Av & Rose Walk,37.8831099,-122.26161,54865
0302320,Euclid Av & Bayview Pl,37.8843899,-122.26265,52105
0302430,Euclid Av & Eunice St,37.88637,-122.26235,55294
0302270,Euclid Av & #1151,37.8875871,-122.2613256,57501
0302330,Euclid Av & Bret Harte Path,37.8899199,-122.26246,57512
0302390,Euclid Av & Cragmont Av,37.8907599,-122.2637,54357
0302420,Euclid Av & Easter Way,37.8926799,-122.26491,57523
0302550,Euclid Av & Regal Rd,37.89396,-122.26377,56587
0302520,Euclid Av & Marin Av,37.8950899,-122.26448,57956
0302580,Euclid Av & Rock Ln,37.89631,-122.26575,54398
0302530,Euclid Av & Poplar St,37.8976599,-122.26689,59756
0302290,Euclid Av & Acacia Av,37.9009799,-122.26766,59432
0302460,Euclid Av & Grizzly Peak Blvd,37.9018099,-122.26728,54373
0302860,Grizzly Peak Blvd & Creston Rd (North-West,37.90085,-122.2664199,58289
0302940,Grizzly Peak Blvd & Keeler Av,37.89919,-122.2650999,54014
0303050,Grizzly Peak Blvd & Sunset Ln,37.89812,-122.2622899,54513
0302900,Grizzly Peak Blvd & Forest Ln,37.89673,-122.2612099,58689
0302970,Grizzly Peak Blvd & Latham Ln,37.89406,-122.2583099,54124
0302870,Grizzly Peak Blvd & Creston Rd (South-East,37.89248,-122.2564299,58389
0303030,Grizzly Peak Blvd & Stevenson Av,37.89153,-122.2550199,54383
0303020,Grizzly Peak Blvd & Shasta Rd,37.8905,-122.2525799,54358
0302840,Grizzly Peak Blvd & Arcade Av,37.88712,-122.2514699,58710
0302920,Grizzly Peak Blvd & Hill Rd,37.88576,-122.2492799,51231
0302850,Grizzly Peak Blvd & Avenida Dr,37.8848,-122.2484599,57610
0303000,Grizzly Peak Blvd & Senior Av,37.88303,-122.2489599,53077
301007140,Centennial Dr & Lawrence Hall Of Science,37.8803499,-122.24674,
