stopTag,title,lat,lon,stopId
9902480,Allston Way & Shattuck Av,37.8694899,-122.26765,51096
0306210,Shattuck Sq & Center St,37.87076,-122.26766,55551
0303940,Oxford St & University Av,37.8727699,-122.26598,50400
0303910,Oxford St & Hearst Av,37.8745099,-122.26628,51173
0303980,Oxford St & Virginia St,37.87677,-122.26658,54303
0303890,Oxford St & Cedar St,37.8786399,-122.2668,51765
0303960,Oxford St & Vine St,37.8803582,-122.2670298,51197
0303920,Oxford St & Rose St,37.8820999,-122.26719,51179
0305350,Spruce St & Rose St,37.8827999,-122.26613,53458
0305260,Spruce St & Glen Av,37.8840885,-122.2663298,54065
0305240,Spruce St & Eunice St,37.8863,-122.26655,54315
0305300,Spruce St & Los Angeles Av,37.8883519,-122.266772,54265
0305380,Spruce St & San Benito Rd,37.89089,-122.26716,57467
0305390,Spruce St & Santa Barbara Rd,37.89218,-122.26692,54359
0305320,Spruce St & Marin Av,37.8933699,-122.26789,54351
0305340,Spruce St & Montrose Rd,37.8952699,-122.26898,54965
0305290,Spruce St & Halkin Ln,37.89797,-122.26986,54165
0305230,Spruce St & Acacia Walk,37.8993799,-122.27083,53856
0305220,Spruce St & #533,37.90131,-122.26951,53823
0305410,Spruce St & Vassar Av,37.9024,-122.27057,54363
0305280,Spruce St & Grizzly Peak Blvd,37.9043099,-122.26976,56277
9900520,Canon Dr & Environmental Center,37.9088799,-122.26469,50419
9900530,Canon Dr & Pony Rides,37.90623,-122.2636999,50426
9900560,Central Park Dr & Lake Anza,37.89975,-122.2557799,50429
0301550,Central Park Dr & Wildcat Canyon Rd,37.8961512,-122.2557902,59213
309901470,Wildcat Canyon Rd & Brazillian Building,37.8934099,-122.24564,
