stopTag,title,lat,lon,stopId
9904000,Oxford St & Addison St,37.8713399,-122.26581,51705
9904050,Shattuck Av & Center St,37.87048,-122.2682499,51719
0304960,Shattuck Av & Kittredge St,37.86819,-122.2679899,55999
0302020,Durant Av & Shattuck Av,37.86668,-122.26723,56555
9903630,Durant Av & Ellsworth St,37.8672,-122.26322,51584
0301990,Durant Av & Dana St,37.86742,-122.26142,57555
0301930,Dana St & Haste St,37.86581,-122.2609899,55138
0305510,Telegraph Av & Dwight Way,37.86451,-122.2586199,51555
0305480,Telegraph Av & Derby St,37.86116,-122.2591299,59593
0305540,Telegraph Av & Parker St,37.8629199,-122.2588799,58835
0305610,Telegraph Av & Stuart St,37.8597099,-122.2593299,51215
0305580,Telegraph Av & Russell St,37.8577899,-122.2595899,58330
0305470,Telegraph Av & Ashby Av,37.8564099,-122.2597899,57088
0305620,Telegraph Av & Webster St,37.85531,-122.2599299,55529
0305570,Telegraph Av & Prince St,37.8536499,-122.2601699,55723
1020380,Telegraph Av & Alcatraz Av,37.8503899,-122.26062,53377
1020330,Telegraph Av & 62nd St,37.8480399,-122.2609599,51123
1020310,Telegraph Av & 60th St,37.8465799,-122.2611399,50422
1030840,Telegraph Av & 59th St,37.8447499,-122.2614099,54499
1020290,Telegraph Av & 58th St,37.8435199,-122.2615799,56007
1020360,Telegraph Av & Aileen St,37.8419099,-122.2618099,55139
1020280,Telegraph Av & 55th St,37.8403599,-122.2620199,51851
1020260,Telegraph Av & 52nd St,37.8381899,-122.2623199,55425
1020250,Telegraph Av & 50th St,37.8365499,-122.2626099,54111
1020200,Telegraph Av & 44th St,37.8323699,-122.2637399,56783
1020150,Telegraph Av & 40th St,37.8294999,-122.26451,55575
1020460,Telegraph Av & W Macarthur Blvd,37.8267399,-122.2652599,55933
1020130,Telegraph Av & 36th St,37.8245899,-122.2658299,54404
1020110,Telegraph Av & 34th St,37.8226099,-122.2663599,54334
1020090,Telegraph Av & 32nd St,37.8210399,-122.2667899,50411
1020070,Telegraph Av & 30th St,37.8191699,-122.2672899,55520
9903820,Telegragh Av & 27th St,37.8158599,-122.2681399,51635
1020020,Telegraph Av & 24th St,37.8132499,-122.2687999,52220
1031070,Thomas L Berkley Way (20th St) & Telegraph,37.8091,-122.2687999,55777
1006430,Broadway & 19th St (19th St BART Station),37.8079199,-122.2690899,54700
9902070,Broadway & 17th St (19th St BART Station),37.8063199,-122.2700799,50958
1006360,Broadway & 14th St (12th St BART Station),37.8039799,-122.2714899,56666
1006290,Broadway & 12th St (12th St BART Station),37.8026499,-122.2724,55222
309903830,10th St & Washington St,37.8022499,-122.27446,
