stopTag,title,lat,lon,stopId
0500890,El Cerrito Plaza BART Station,37.9025399,-122.29871,51177
0501010,Fairmount Av & Victoria St,37.90236,-122.29664,56570
0500950,Fairmount Av & Behrens St,37.90273,-122.29546,57543
0500930,Fairmount Av & Ashbury Av,37.90318,-122.29399,53371
0500580,Colusa Av & Fairmount Av,37.90389,-122.2907699,52625
0500570,Colusa Av & Curry Av,37.90299,-122.2886699,58780
0500600,Colusa Av & Lynn Av,37.90087,-122.2884099,59882
9900590,Colusa Av & Oak View Av,37.89964,-122.2874199,50560
0301910,Colusa Av & Visalia Av,37.8982,-122.2856599,51167
0301850,Colusa Av & Thousand Oaks Blvd,37.89668,-122.2854099,51277
0301890,Colusa Av & Vincente Av,37.8947,-122.2828099,52377
0301870,Colusa Av & Thousand Oaks School,37.89225,-122.2801299,51677
0305150,Solano Av & Colusa Av,37.8912999,-122.27876,57799
0305680,The Alameda & Solano Av,37.89116,-122.2771099,57735
0305670,The Alameda & Monterey Av,37.88773,-122.2764099,55964
0305640,The Alameda & Hopkins St,37.8855,-122.2751399,55619
0303500,Martin Luther King Jr Way & Berryman St,37.88298,-122.2743399,50339
0303660,Martin Luther King Jr Way & Rose St,37.88123,-122.2741599,57587
0303740,Martin Luther King Jr Way & Vine St,37.87945,-122.2739299,50662
0303530,Martin Luther King Jr Way & Cedar St,37.8776,-122.2738199,50661
0303750,Martin Luther King Jr Way & Virginia St,37.87581,-122.2735599,56598
0303600,Martin Luther King Jr Way & Hearst Av,37.87343,-122.2732999,57663
0305990,University Av & Martin Luther King Jr Way,37.8715496,-122.2726723,55988
0306080,University Av & Shattuck Av,37.87203,-122.26857,54466
9904050,Shattuck Av & Center St,37.8704799,-122.26825,51719
0304960,Shattuck Av & Kittredge St,37.86819,-122.2679899,55999
0302020,Durant Av & Shattuck Av,37.86668,-122.26723,56555
9903630,Durant Av & Ellsworth St,37.8672,-122.26322,51584
9903710,Durant Av & Dana St,37.86749,-122.26084,51606
9903600,Durant Av & Telegragh St,37.8678595,-122.2586436,51579
0301980,Durant Av & College Av,37.8683,-122.25463,52333
0304010,Piedmont Av & Channing Way,37.86748,-122.2519899,50144
0304030,Piedmont Av & Dwight Way,37.8659799,-122.25141,51997
0306150,Warring St & Parker St,37.86424,-122.2503899,59114
0306130,Warring St & Derby St,37.86246,-122.2501999,54767
0301960,Derby St & Claremont Blvd,37.86242,-122.24728,58860
0301640,Claremont Blvd & Garber St,37.86051,-122.2456399,51432
0301560,Claremont Av & Ashby Av,37.8581999,-122.2453399,58830
0301620,Claremont Av & Webster St,37.8562299,-122.2469199,55762
0301630,Claremont Av & Woolsey St,37.8541099,-122.2486199,55763
0301580,Claremont Av & Eton Av,37.8524499,-122.2499799,57118
9903730,Claremont Av & Mystic St,37.8507499,-122.2513699,51614
1007470,College Av & Claremont Av,37.84878,-122.2522899,57877
1007450,College Av & Chabot Rd,37.8472,-122.2521299,56288
1007540,College Av & Oak Grove Av (Opp. Claremont,37.84572,-122.2519899,56656
1031880,Miles Av & College Av,37.8451706,-122.2521482,50478
301007530,College Av & Miles Av (Claremont Middle Sc,37.8454799,-122.25182,
