stopTag,title,lat,lon,stopId
9903940,Allston Way & Shattuck Av,37.8693199,-122.26882,51687
0305940,University Av & Grant St,37.8714099,-122.2751699,58851
9903620,University Av & California St,37.8707399,-122.2802799,51583
0306720,Sacramento St & University Av,37.87007,-122.2820799,55998
0304100,Sacramento St & Allston Way,37.8671,-122.2817999,55380
0304140,Sacramento St & Bancroft Way,37.86592,-122.2816799,52515
0304190,Sacramento St & Channing Way,37.8641099,-122.2814799,53977
0304220,Sacramento St & Dwight Way,37.86231,-122.2812999,55451
0304150,Sacramento St & Carleton St,37.85968,-122.2805199,52535
0304380,Sacramento St & Ward St,37.85789,-122.2801599,58335
0304290,Sacramento St & Oregon St,37.85577,-122.2797099,58225
0304110,Sacramento St & Ashby Av,37.8534599,-122.2792,52100
0304300,Sacramento St & Prince St,37.85125,-122.2786999,50570
0304250,Sacramento St & Fairview St,37.84975,-122.2783399,59077
0304070,Sacramento St & Alcatraz Av,37.84806,-122.2779399,58599
1015900,Market St & 62nd St,37.84629,-122.2769599,51553
1015880,Market St & 59th St,37.84352,-122.2750299,59090
1015920,Market St & Arlington Av,37.84241,-122.2747699,51599
1015860,Market St & 56th St,37.84023,-122.2742299,59925
1015850,Market St & 55th St,37.839,-122.2739799,57558
1015820,Market St & 52nd St,37.83664,-122.2734899,56774
1015800,Market St & 46th St,37.83535,-122.2732199,53653
1015780,Market St & 44th St,37.8338699,-122.2732399,58518
1015760,Market St & 42nd St,37.8324699,-122.2735799,51004
1015730,Market St & 40th St,37.8308099,-122.27399,52722
1015970,Market St & W Macarthur Blvd,37.8282999,-122.2746399,55053
1015710,Market St & 35th St,37.8255699,-122.2753899,58508
1015700,Market St & 33rd St,37.8240999,-122.2756899,55052
1015680,Market St & 32nd St,37.8225099,-122.2760799,54515
1018460,San Pablo Av & Market St,37.82053,-122.2766499,50508
1015660,Market St & 28th St,37.8191899,-122.2770699,54425
1015630,Market St & 26th St (Mc Clymonds High Scho,37.8176599,-122.2776199,50330
1015620,Market St & 24th St,37.8161299,-122.2781699,52775
9903020,Market St & W Grand Av,37.8141699,-122.27889,51371
1030300,Market St & 16th St,37.8095599,-122.2805499,55705
1030310,Market St & 14th St,37.8079199,-122.2811599,56564
1000280,10th St & Market St,37.80527,-122.2815899,58833
1000360,11th St & Brush St,37.80523,-122.2802399,52287
1000370,11th St & Clay St,37.80296,-122.2744599,59444
1000340,11th St & Broadway (12th St BART Station),37.8022699,-122.27275,54777
1000380,11th St & Franklin St,37.80154,-122.2708699,53334
1030760,11th St & Harrison St,37.80064,-122.2685899,58888
1030690,11th St & Madison St,37.79946,-122.2655699,54555
301030320,Madison St & 9th St,37.7978599,-122.26649,
