stopTag,title,lat,lon,stopId
9902350,Hearst Av & Shattuck Av,37.8738699,-122.26794,51072
0306750,Hearst Av & Spruce St,37.8742299,-122.26522,50607
0306550,Hearst Av & Arch St,37.87443,-122.26408,58558
0303120,Hearst Av & Euclid Av,37.87493,-122.26055,55006
0303140,Hearst Av & Le Roy Av,37.8753,-122.25797,57955
0302670,Gayley Rd & Greek Theater,37.87347,-122.2552299,53700
0305750,Piedmont Av & UC Faculty Club,37.871,-122.2528299,55967
0303990,Piedmont Av & Bancroft Way,37.86969,-122.2523899,52995
0301120,Bancroft Way & College Av,37.8692899,-122.2551299,59555
0301190,Bancroft Way & Telegraph Av,37.8686099,-122.2605199,54963
0301130,Bancroft Way & Dana St,37.8684599,-122.26191,55593
0306530,Bancroft Way & Ellsworth St,37.8681699,-122.2640799,54655
0302650,Fulton St & Kittredge St,37.8688299,-122.26616,52280
9904050,Shattuck Av & Center St,37.87048,-122.2682499,51719
0304960,Shattuck Av & Kittredge St,37.86819,-122.2679899,55999
0304890,Shattuck Av & Durant Av,37.86647,-122.2678099,55226
0304920,Shattuck Av & Dwight Way,37.86376,-122.2674999,54454
0304990,Shattuck Av & Parker St,37.86193,-122.2672799,55935
0304870,Shattuck Av & Derby St,37.8606699,-122.2671699,51377
0300420,Adeline St & Ward St,37.8590399,-122.2677899,56910
0300400,Adeline St & Oregon St,37.8570799,-122.2684899,57330
0300410,Adeline St & Russell St,37.85549,-122.2690099,56736
0300350,Adeline St & Ashby BART Station,37.8525999,-122.27005,59978
0300380,Adeline St & Fairview St,37.85079,-122.2708499,54254
0300330,Adeline St & Alcatraz Av,37.8484499,-122.2717499,52525
1019840,Stanford Av & King St,37.8459699,-122.2732999,59570
1015880,Market St & 59th St,37.84352,-122.2750299,59090
1015920,Market St & Arlington Av,37.84241,-122.2747699,51599
1015860,Market St & 56th St,37.84023,-122.2742299,59925
1015850,Market St & 55th St,37.839,-122.2739799,57558
1015820,Market St & 52nd St,37.83664,-122.2734899,56774
1015800,Market St & 46th St,37.83535,-122.2732199,53653
1015780,Market St & 44th St,37.8338699,-122.2732399,58518
1015760,Market St & 42nd St,37.8324699,-122.2735799,51004
1015730,Market St & 40th St,37.8308099,-122.2739899,52722
0601040,40th St & San Pablo Av,37.8312599,-122.27934,51627
0601150,40th St & Emery St,37.8307999,-122.2815699,50163
0600040,40th St & Harlan St,37.8304799,-122.2831199,56610
0600060,40th St & Hollis St,37.8300599,-122.2851799,57578
0600970,40th St & Horton St,37.8294999,-122.2879599,52260
0600890,Shellmound St & Bay St,37.83399,-122.29329,57988
0601160,Shellmound St & Powell St,37.8384399,-122.29312,50242
301410400,Transbay Temp Terminal,37.7900999,-122.39384,
