stopTag,title,lat,lon,stopId
1006440,Broadway & 19th St (19th St BART Station),37.808,-122.26876,51155
0305940,University Av & Grant St,37.8714099,-122.2751699,58851
0501470,San Pablo Av & Eureka Av,37.9063799,-122.30516,59967
1006380,Broadway & 14th St,37.8048019,-122.2708686,52111
0306140,Warring St & Parker St,37.8645399,-122.25027,55664
9902870,Arlington Blvd & Madera Dr,37.9293299,-122.29882,51318
0306050,University Av & Sacramento St,37.87037,-122.28135,56667
0500500,Barrett Av & Yuba St,37.936,-122.31787,53317
0304810,Shattuck Av & Ashby Av,37.8551099,-122.26641,51101
0304760,Shasta Rd & Miller Av,37.8896299,-122.2531799,50669
0104270,Webster St & Lincoln Av,37.77489,-122.2768199,58899
9904000,Oxford St & Addison St,37.8713399,-122.26581,51705
0303980,Oxford St & Virginia St,37.87677,-122.26658,54303
0305930,University Av & Grant St,37.87121,-122.27489,51900
1006360,Broadway & 14th St (12th St BART Station),37.8039799,-122.2714899,56666
301007550,College Av & Rockridge BART Station,37.8445499,-122.25169,
0501570,San Pablo Av & Potrero Av,37.9211999,-122.31533,55117
0303010,Grizzly Peak Blvd & Shasta Rd,37.8903399,-122.25226,50226
0303540,Martin Luther King Jr Way & Channing Way,37.86533,-122.27226,55924
0303420,Marin Av & The Circle,37.88988,-122.27265,55904
1000340,11th St & Broadway (12th St BART Station),37.8022699,-122.27275,54777
0304360,Sacramento St & Francisco St (North Berkel,37.8737799,-122.28252,53243
0302380,Euclid Av & Codornices Park,37.88312,-122.2617599,52267
0304080,Sacramento St & Alcatraz Av,37.8484599,-122.27774,53556
0303490,Martin Luther King Jr Way & Bancroft Way,37.86674,-122.2725899,55067
0500170,Arlington Blvd & Havens Pl,37.92168,-122.2912599,59924
1300650,Barrett Av & Mc Laughlin St,37.9356999,-122.3240599,56528
9903820,Telegragh Av & 27th St,37.8158599,-122.2681399,51635
0501580,San Pablo Av & Potrero Av,37.92016,-122.3149399,55506
1302300,Macdonald Av & 33rd St,37.9344699,-122.33799,58665
0304240,Sacramento St & Fairview St,37.8500499,-122.27811,55830
0301760,College Av & Parker St,37.86418,-122.25371,57774
1031030,Thomas L Berkley Way (20th St) & Telegraph,37.8095899,-122.26941,57999
0304060,Russell St & Claremont Blvd,37.8590299,-122.2450899,51633
0305040,Shattuck Av & University Av,37.87237,-122.2685399,58889
0305590,Telegraph Av & Russell St,37.85794,-122.25934,52424
1004810,Adeline St & 18th St,37.8120899,-122.28512,55494
0300830,Ashby Av & Deakin St,37.8558699,-122.2626199,52336
0304880,Shattuck Av & Derby St,37.86028,-122.26692,59985
9900330,Arlington Av & Westminster Av,37.91047,-122.28015,50240
1410140,Market St & South Van Ness Av,37.7751599,-122.41908,51656
0304960,Shattuck Av & Kittredge St,37.86819,-122.2679899,55999
9900230,Arlington Av & Coventry Rd,37.90368,-122.2782499,55654
0301190,Bancroft Way & Telegraph Av,37.8686099,-122.26052,54963
1003010,55th St & Telegraph Av,37.8403199,-122.26223,54348
1003540,7th St & Peralta St,37.80596,-122.2984699,55407
1017190,Oak St & 10th St,37.79853,-122.26436,54483
0305560,Telegraph Av & Prince St,37.85362,-122.25994,58220
0306660,Gilman St & San Pablo Av,37.8804499,-122.2963699,54354
0200650,Solano Av & Peralta Av,37.89095,-122.28524,56615
1020380,Telegraph Av & Alcatraz Av,37.8503899,-122.26062,53377
1003490,7th St & Harrison St,37.7981,-122.2708399,55571
1020140,Telegraph Av & 38th St,37.82688,-122.26496,55375
0103420,Santa Clara Av & Webster St,37.77327,-122.2764399,59992
0103830,Webster St & Lincoln Av,37.77549,-122.27664,55549
1302270,Macdonald Av & 27th St,37.93493,-122.3425699,55154
1020260,Telegraph Av & 52nd St,37.8381899,-122.2623199,55425
0300840,Ashby Av & Deakin St,37.85579,-122.26217,57658
0303970,Oxford St & Virginia St,37.87643,-122.2667199,54230
1410170,Market St & 3rd St,37.78766,-122.40336,55409
0301040,Ashby Av & Shattuck Av,37.8553499,-122.2668299,55016
0301980,Durant Av & College Av,37.8683,-122.25463,52333
0300620,Arlington Av & San Antonio Av,37.89912,-122.2774199,57585
0301990,Durant Av & Dana St,37.86742,-122.26142,57555
1031780,Broadway & 22nd St,37.81081,-122.26702,50403
309904240,Monroe Av & 10th St,37.8843699,-122.29886,
0302240,Dwight Way & San Pablo Av,37.8610999,-122.28916,56200
0500010,Arlington Blvd & #1529,37.9295699,-122.3004599,54374
0302530,Euclid Av & Poplar St,37.8976599,-122.26689,59756
1000520,12th St & Oak St,37.7998999,-122.26405,55570
